,gp,min,fga,fg,3pa,3p,fta,ft,oreb,dreb,target_5yrs,pts_per_min,ast_per_min,reb_per_min,blk_per_min,stl_per_min,tov_per_min
0,36,27.4,7.6,34.7,2.1,25.0,2.3,69.9,0.7,3.4,0,0.27007299270072993,0.06934306569343066,0.14963503649635035,0.014598540145985403,0.014598540145985403,0.04744525547445256
1,35,26.9,6.7,29.6,2.8,23.5,3.4,76.5,0.5,2.0,0,0.2676579925650558,0.13754646840148702,0.08921933085501858,0.01858736059479554,0.04089219330855019,0.05947955390334573
2,74,15.3,4.7,42.2,1.7,24.4,1.3,67.0,0.5,1.7,0,0.33986928104575165,0.06535947712418301,0.14379084967320263,0.0196078431372549,0.032679738562091505,0.06535947712418301
3,58,11.6,5.5,42.6,0.5,22.6,1.3,68.9,1.0,0.9,1,0.4913793103448276,0.06896551724137931,0.16379310344827586,0.008620689655172414,0.05172413793103448,0.08620689655172414
4,48,11.5,3.0,52.4,0.1,0.0,1.9,67.4,1.0,1.5,1,0.391304347826087,0.02608695652173913,0.21739130434782608,0.034782608695652174,0.02608695652173913,0.06956521739130435
5,75,11.4,3.5,42.3,1.1,32.5,0.5,73.2,0.2,0.7,0,0.32456140350877194,0.15789473684210525,0.07017543859649122,0.0,0.03508771929824561,0.06140350877192982
6,62,10.9,5.8,43.5,0.1,50.0,1.8,81.1,0.5,1.4,1,0.6055045871559632,0.055045871559633024,0.18348623853211007,0.009174311926605505,0.01834862385321101,0.06422018348623852
7,48,10.3,5.4,41.5,1.5,30.0,0.8,87.5,0.8,0.9,1,0.5533980582524272,0.019417475728155338,0.16504854368932037,0.009708737864077669,0.019417475728155338,0.06796116504854369
8,65,9.9,2.4,39.2,0.5,23.3,0.5,71.4,0.2,0.6,0,0.2424242424242424,0.2323232323232323,0.08080808080808081,0.0,0.0303030303030303,0.11111111111111112
9,42,8.5,3.5,38.3,0.3,21.4,1.4,67.8,0.4,0.7,0,0.43529411764705883,0.03529411764705882,0.12941176470588237,0.0,0.023529411764705882,0.08235294117647059
10,35,6.9,2.4,36.5,0.1,33.3,0.6,81.8,0.5,0.3,0,0.3333333333333333,0.10144927536231883,0.13043478260869565,0.014492753623188406,0.014492753623188406,0.043478260869565216
